productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
666906,Mega Evolution: Ascended Heroes Collection - Erika,Mega Evolution Ascended Heroes Collection Erika,https://tcgplayer-cdn.tcgplayer.com/product/666906_200w.jpg,3,24541,https://cpt.tcgcsv.com/8Nl7,2026-01-27T15:56:08.427,0,"Discover a Trainer’s Pokémon at the Gym!
<br>The Celadon City Gym, led by Gym Leader Erika, is filled with beautiful greenery and Grass-type Pokémon galore.
<br>In this collection, you’ll find a promo card featuring Erika’s Tangela, a metallic coin featuring Erika, and two booster packs from the special Mega Evolution—Ascended Heroes expansion.
<br>
<br>The Pokémon TCG: Mega Evolution—Ascended Heroes Collection—Erika includes:
<br>
<br>• 1 foil promo card featuring Erika’s Tangela
<br>• 1 Pokémon coin featuring Erika
<br>• 2 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs",31.96,36.32,48.56,37.15,,Normal,,,,,,,,,,,
666907,Mega Evolution: Ascended Heroes Collection - Larry,Mega Evolution Ascended Heroes Collection Larry,https://tcgplayer-cdn.tcgplayer.com/product/666907_200w.jpg,3,24541,https://cpt.tcgcsv.com/9Nl7,2026-01-27T15:56:23.027,1,"Discover a Trainer’s Pokémon at the Gym!

<br>Visitors to Medali in the Paldea region have the chance to battle Gym Leader Larry and his Normal-type Pokémon.

<br>In this collection, you’ll find a promo card featuring Larry’s Komala, a metallic coin featuring Larry, and two booster packs from the special Mega Evolution—Ascended Heroes expansion.
<br><br>The Pokémon TCG: Mega Evolution—Ascended Heroes Collection—Larry includes:
<br>
<br>• 1 foil promo card featuring Larry’s Komala
<br>• 1 Pokémon coin featuring Larry
<br>• 2 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs",31.96,36.67,46.57,36.86,,Normal,,,,,,,,,,,
666908,Mega Evolution: Ascended Heroes Tech Sticker Collection - Charmander,Mega Evolution Ascended Heroes Tech Sticker Collection Charmander,https://tcgplayer-cdn.tcgplayer.com/product/666908_200w.jpg,3,24541,https://cpt.tcgcsv.com/bNl7,2026-01-30T05:10:19.683,3,"Mega Evolve Your Sticker Game!
<br>
<br>Pokémon from the Kanto region are ascending to greatness—as both promo cards and tech stickers! In this collection, you’ll find Charmander as a foil promo card, plus a sheet of tech stickers featuring Charmander and Mega Charizard Y. Top it all off with even more Pokémon inside three booster packs from the special Mega Evolution—Ascended Heroes expansion!
<br>
<br>The Pokémon TCG: Mega Evolution—Ascended Heroes Tech Sticker Collection—Charmander includes:
<br>
<br>• 1 foil promo card featuring Charmander
<br>• 1 tech sticker sheet (featuring Charmander and Mega Charizard Y)
<br>• 3 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs",37.0,45.0,82.5,40.18,,Normal,,,,,,,,,,,
666909,Mega Evolution: Ascended Heroes Tech Sticker Collection - Gastly,Mega Evolution Ascended Heroes Tech Sticker Collection Gastly,https://tcgplayer-cdn.tcgplayer.com/product/666909_200w.jpg,3,24541,https://cpt.tcgcsv.com/cNl7,2026-01-30T05:10:19.683,3,"Mega Evolve Your Sticker Game!
<br>
<br>Pokémon from the Kanto region are ascending to greatness—as both promo cards and tech stickers! In this collection, you’ll find Gastly as a foil promo card, plus a sheet of tech stickers featuring Gastly and Mega Gengar. Top it all off with even more Pokémon inside three booster packs from the special Mega Evolution—Ascended Heroes expansion!
<br>
<br>The Pokémon TCG: Mega Evolution—Ascended Heroes Tech Sticker Collection—Gastly includes:
<br>
<br>• 1 foil promo card featuring Gastly
<br>• 1 tech sticker sheet (featuring Gastly and Mega Gengar)
<br>• 3 Pokémon TCG: Mega Evolution—Ascended Heroes booster packs",33.0,43.85,82.5,39.01,,Normal,,,,,,,,,,,
668496,Ascended Heroes Elite Trainer Box,Ascended Heroes Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/668496_200w.jpg,3,24541,https://cpt.tcgcsv.com/Xpm7,2026-01-12T19:50:58.167,1,"Rise to a New Challenge!<br>

Marvel at the awesome potential as Mega Dragonite ex takes flight, leading a gathering of all-star Pokémon to battle! Trainer’s Pokémon and Stellar Tera Pokémon ex join returning and newly discovered Mega Evolution Pokémon ex, including some with special artwork showing off their biggest and boldest attacks. Celebrate the stars of Scarlet & Violet and the dawn of Mega Evolution with the Pokémon TCG: Mega Evolution—Ascended Heroes expansion!<br><br>

The Pokémon TCG: Ascended Heroes Elite Trainer Box includes:<br>
• 9 Pokémon TCG: Ascended Heroes booster packs<br>
• 1 full-art foil promo card featuring N’s Zekrom<br>
• 65 card sleeves<br>
• 40 Pokémon TCG Energy cards<br>
• A player’s guide to the Ascended Heroes expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 1 plastic coin<br>
• A collector’s box to hold everything, with 6 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Liv<br>",149.0,159.96,190.0,153.16,,Normal,0196214114845,,,,,,,,,,
668497,Ascended Heroes Pokemon Center Elite Trainer Box (Exclusive),Ascended Heroes Pokemon Center Elite Trainer Box Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/668497_200w.jpg,3,24541,https://cpt.tcgcsv.com/Zpm7,2025-12-10T14:52:05.033,1,"Rise to a New Challenge!<br>

Marvel at the awesome potential as Mega Dragonite ex takes flight, leading a gathering of all-star Pokémon to battle! Trainer’s Pokémon and Stellar Tera Pokémon ex join returning and newly discovered Mega Evolution Pokémon ex, including some with special artwork showing off their biggest and boldest attacks. Celebrate the stars of Scarlet & Violet and the dawn of Mega Evolution with the Pokémon TCG: Mega Evolution—Ascended Heroes expansion!<br><br>

The Pokémon TCG: Ascended Heroes Elite Trainer Box includes:<br>
• 9 Pokémon TCG: Ascended Heroes booster packs<br>
• 1 full-art foil promo card featuring N’s Zekrom<br>
• 65 card sleeves<br>
• 40 Pokémon TCG Energy cards<br>
• A player’s guide to the Ascended Heroes expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 1 plastic coin<br>
• A collector’s box to hold everything, with 6 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Liv<br>",325.0,335.45,345.9,344.9,,Normal,,,,,,,,,,,
668530,Ascended Heroes Mini Tins 5-Pack,Ascended Heroes Mini Tins 5 Pack,https://tcgplayer-cdn.tcgplayer.com/product/668530_200w.jpg,3,24541,https://cpt.tcgcsv.com/Dqm7,2025-12-10T18:17:39.833,0,"Each product contains 5 Ascended Heroes Mini Tins designs and 4 reverse cosmos holo promo cards.
<br>
<br><strong>Ascended Heroes Mini Tin contents:</strong>
<br>• 2 Pokemon TCG booster packs
<br>• 1 Pokemon coin
<br>• 1 Pokemon art card 
<br>
<br><em>(Pokemon TCG booster packs, coins, and contents vary by product.)</em>",119.93,189.5,970.0,194.77,,Normal,,,,,,,,,,,
668531,Ascended Heroes Mini Tin [Pikachu & Tepig],Ascended Heroes Mini Tin Pikachu and Tepig,https://tcgplayer-cdn.tcgplayer.com/product/668531_200w.jpg,3,24541,https://cpt.tcgcsv.com/Fqm7,2025-12-10T18:19:34.123,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all ten!”",28.59,34.92,194.0,30.82,,Normal,,,,,,,,,,,
668532,Ascended Heroes Mini Tin [Riolu & Darumaka],Ascended Heroes Mini Tin Riolu and Darumaka,https://tcgplayer-cdn.tcgplayer.com/product/668532_200w.jpg,3,24541,https://cpt.tcgcsv.com/Gqm7,2025-12-10T18:20:00.107,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all ten!”",27.38,35.02,194.0,30.67,,Normal,,,,,,,,,,,
668533,Ascended Heroes Mini Tin [Zorua & Cramorant],Ascended Heroes Mini Tin Zorua and Cramorant,https://tcgplayer-cdn.tcgplayer.com/product/668533_200w.jpg,3,24541,https://cpt.tcgcsv.com/Hqm7,2026-01-09T14:43:14.043,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all ten!”",24.0,28.09,194.0,28.53,,Normal,,,,,,,,,,,
